gene_name,glu1,glu2,glu6,glu7,glu11,glu12,gly1,gly2,gly6,gly7,gly11,gly12
ybdG,3.902486666,3.853667527,3.378087341,3.858514772,4.530117581,4.075909516,2.988868548,3.467600001,1.634841947,3.412926304,3.323031869,3.250214154
ybdH,3.281461771,2.429952245,3.059257218,2.562090015,3.700760668,2.529122468,2.478808946,3.208145339,3.470749835,2.336112447,3.148053403,2.501831767
ybdJ,0.658708418,1.632120246,1.878486406,0.780805482,1.843055586,1.876515111,1.675275111,1.909857469,0.950201861,1.142112545,0.400375956,2.501831767
ybdK,0.658708418,0.04093922,-0.081165644,0.387042983,1.473989129,0.516202858,2.478808946,1.402984775,1.634841947,1.142112545,2.717142687,1.898039616
ybdL,1.50675362,1.632120246,1.239066079,0.387042983,1.900776578,1.505047819,1.255666409,1.760580758,2.271761073,1.42689579,1.641516703,2.231895253
ybdM,1.279535868,-1.14456266,1.06506632,-0.233394293,1.074094981,0.596683146,0.639427359,0.10884003,1.634841947,0.778581957,0.400375956,2.728660382
ybdQ,4.667150713,3.214239589,2.524469212,2.734557267,4.236373082,3.387946846,4.587127522,3.766594532,3.470749835,4.416595346,4.531955639,5.222845217
ybdR,1.701594873,1.909674822,2.238018242,1.528716401,2.454749665,2.637027325,3.058650775,2.81846539,1.634841947,3.056677113,1.887696574,2.231895253
ybeA,2.700105232,3.402648158,3.059257218,3.184015617,3.778712156,4.358020876,1.845238606,2.660811997,2.829743201,2.973436686,1.341744444,2.501831767
ybeB,3.450374263,4.341620276,3.958384548,4.469685116,4.751017902,5.203765429,3.748448948,3.026504243,3.542781318,3.749023528,3.051855849,3.096523317
ybeD,4.246048423,3.78764548,2.762849217,2.81356451,3.242414359,3.632590573,3.981429471,4.358987101,1.634841947,3.209933256,2.948738551,1.898039616
ybeF,-1.14456266,0.04093922,-1.14456266,0.387042983,0.408571111,0.121745392,-1.14456266,-1.14456266,-1.14456266,0.261889892,-1.14456266,-1.14456266
ybeL,5.79563637,5.454822583,5.321052289,5.160889837,4.534614753,3.856507875,6.365974743,5.724448251,5.439681725,5.813513264,6.480357712,6.348138801
ybeM,3.694112533,2.875164209,2.458083344,2.959587103,3.317537294,3.001936354,3.125194645,3.559550295,2.271761073,2.464111871,2.717142687,2.501831767
ybeV,0.658708418,1.632120246,1.772119263,1.206669469,1.266618037,1.61662547,1.255666409,1.181552541,1.634841947,-1.14456266,1.341744444,1.458599818
ybeX,4.755670322,5.557349612,5.737285953,5.746355023,5.94521944,5.946468423,3.520582185,4.077573058,5.362285377,4.824471917,4.601402454,4.327436117
ybeY,3.648556922,3.357811199,3.884904066,4.432769881,3.530918076,2.933206116,2.372776568,2.385922444,3.470749835,3.845618938,3.238206047,3.631962725
ybeZ,5.063720883,4.936140006,5.174685065,5.205331784,5.087282153,4.823221279,4.21277922,4.594327311,4.29241472,4.384819231,4.16990457,3.739595723
ybfA,5.582315655,4.063473801,4.278273498,3.876963743,6.15684783,4.867961204,2.478808946,1.760580758,0.396002577,2.973436686,1.341744444,2.92436909
ybfB,0.169307087,-1.14456266,-0.081165644,-1.14456266,0.408571111,0.121745392,0.154497435,-1.14456266,-1.14456266,-1.14456266,-1.14456266,-1.14456266
ybfC,-1.14456266,-1.14456266,-0.081165644,-0.233394293,-0.340399338,-0.005082435,-1.14456266,-1.14456266,-1.14456266,0.261889892,-1.14456266,-1.14456266
ybfD,-1.14456266,0.490617291,-1.14456266,0.124258233,-0.340399338,-0.151607991,-1.14456266,-1.14456266,-1.14456266,0.778581957,0.955758142,-1.14456266
ybfE,2.700105232,3.357811199,4.05086741,4.128610446,3.253389765,4.633262087,3.188788908,0.915725688,0.396002577,1.863384156,1.887696574,-1.14456266
ybfF,2.287124403,2.741607747,3.481498342,4.302408495,3.163143758,3.408316295,2.915514321,3.026504243,2.709352471,3.474683089,1.887696574,3.515622458
ybfGH,-1.14456266,-1.14456266,-0.081165644,-0.233394293,0.718619532,1.505047819,0.154497435,0.57980147,-1.14456266,-1.14456266,-1.14456266,-1.14456266
ybfM,2.287124403,2.340080965,2.967104776,2.467348851,1.548844669,0.874259721,3.058650775,3.467600001,2.940786701,2.336112447,3.238206047,3.389035879
ybfN,-1.14456266,-1.14456266,-1.14456266,-1.14456266,-0.57230235,-0.151607991,-1.14456266,1.181552541,-1.14456266,0.261889892,-1.14456266,-1.14456266
ybgA,0.169307087,0.04093922,-0.081165644,0.780805482,0.785190935,0.429826472,0.154497435,0.10884003,-1.14456266,0.778581957,0.400375956,0.804561649
ybgC,2.869000612,3.263708482,3.909816478,4.329441129,3.763455919,4.871627621,2.75646861,3.026504243,2.709352471,3.056677113,2.585564792,2.501831767
ybgD,-1.14456266,0.490617291,0.328725926,0.387042983,-0.165749464,0.336426748,0.154497435,0.915725688,0.396002577,0.778581957,0.955758142,-1.14456266
ybgE,4.992655501,3.718449416,3.69729008,2.888436333,4.437095916,2.815880163,3.125194645,2.960458629,3.139979739,4.44768603,3.685185387,4.520742021
ybgF,5.953644624,6.558434983,6.978436881,7.086744448,6.649762843,6.666226119,4.610486392,5.533879227,6.295332031,6.064706555,5.390780372,5.719519721
ybgG,2.607531025,1.777799163,1.977337143,1.429612449,2.936588225,2.452362542,3.125194645,1.760580758,1.880704813,2.03916712,1.341744444,0.804561649
ybgH,0.169307087,0.490617291,-0.081165644,-1.14456266,1.124904303,1.202582163,0.639427359,0.57980147,0.950201861,0.778581957,-1.14456266,-1.14456266
ybgI,6.751997969,6.492682661,6.89363817,7.050666886,6.474841339,6.150346115,6.879938903,6.70209556,5.237798669,6.234706227,5.965429433,6.025944594
ybgJ,4.797972256,4.535006212,4.406287667,4.188902497,4.663392903,4.363240293,3.981429471,3.947569154,3.394918736,4.44768603,4.342119852,3.096523317
ybgK,6.217868972,5.794125061,5.511977888,5.518778668,6.155389039,5.717130605,5.498854764,5.464318308,5.053105965,4.938280321,5.798093118,5.066434401
ybgL,3.822718504,3.682562565,4.005368097,3.965821487,4.432283457,4.050243604,3.616100965,3.026504243,4.11494029,4.21449498,3.238206047,2.728660382
ybgP,-1.14456266,-1.14456266,-1.14456266,-1.14456266,-1.14456266,-0.328638789,-1.14456266,-1.14456266,-1.14456266,-1.14456266,-1.14456266,-1.14456266
ybgR,2.161956914,2.741607747,3.187254339,1.866355798,3.115799972,2.753401269,2.838199673,2.660811997,2.940786701,2.464111871,3.551059262,2.92436909
ybgS,1.701594873,0.04093922,2.388448808,2.312245118,0.493994953,0.121745392,3.616100965,3.026504243,1.634841947,2.195417295,3.403127684,2.728660382
ybgT,4.667150713,3.163005359,3.341894942,2.562090015,4.792911138,3.130238383,3.249685166,2.483565826,2.709352471,4.062071252,2.948738551,3.096523317
ybhA,1.50675362,1.284323171,1.06506632,1.789321157,2.63403818,2.73734551,0.639427359,0.57980147,1.634841947,0.778581957,1.341744444,1.898039616
ybhB,2.508531198,2.429952245,3.013921285,2.693353613,2.15839243,1.990318907,1.996751073,1.760580758,2.089747114,3.209933256,2.837620345,2.231895253
ybhC,3.22043646,3.446128737,3.378087341,4.2035894,3.700760668,4.238134652,2.372776568,1.909857469,3.314863079,2.690038402,2.717142687,2.231895253
